,name,artist,duration,key,mode,beats,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,popularity,URI
598,Follow God,Kanye West,104591,1,1,4,0.000248,0.529,0.9,1.21e-05,0.0426,-3.503,0.418,0.434,180.291,85,spotify:track:2QpGZOhTCHHiKmpSO9FW4h
599,Closed On Sunday,Kanye West,151873,11,0,4,0.873,0.799,0.291,0.000641,0.139,-7.353,0.0318,0.406,97.984,78,spotify:track:3JWiDGQX2eTlFvKj3Yssj3
600,On God,Kanye West,136351,9,0,4,0.0671,0.41,0.886,0.0,0.461,-4.413,0.155,0.393,72.577,76,spotify:track:2SasoXZyv82yYgHiVOvxQn
601,Everything We Need,Kanye West,116560,9,0,4,0.312,0.894,0.416,0.0,0.146,-6.823,0.0538,0.463,116.96,76,spotify:track:24bnCCysWnbNRNUT4LpHcP
602,Use This Gospel,Kanye West,213878,0,0,4,0.614,0.611,0.459,0.0,0.126,-3.926,0.0422,0.177,148.28,75,spotify:track:0oPOuDmmkVp3h6puekhs6P
603,Touch The Sky,Kanye West,236600,9,1,1,0.0114,0.524,0.846,0.0,0.309,-4.912,0.347,0.551,98.385,67,spotify:track:2dxjKgT0li4qBI3QwuN9Ih
604,Drive Slow,Kanye West,272227,11,1,1,0.031,0.593,0.592,1.12e-05,0.229,-8.217,0.29,0.488,81.33,57,spotify:track:6vB49BJ70zBpDrrAPwdaB8
605,My Way Home,Kanye West,103373,8,1,4,0.331,0.595,0.596,0.0,0.0976,-10.488,0.0408,0.775,86.969,50,spotify:track:0TzIHqhAbvYR6qJKrMMFlk
606,Diamonds From Sierra Leone - Remix,Kanye West,233400,7,1,4,0.258,0.671,0.814,0.0,0.164,-3.768,0.27,0.38,96.985,56,spotify:track:34KUIBsIUiPV7oCIzSdDAU
607,We Major,Kanye West,448000,11,0,4,0.0107,0.232,0.883,0.0,0.045,-3.659,0.125,0.217,84.59,52,spotify:track:46fk9wjYcPm0sgym2b7EEE
608,Hey Mama,Kanye West,305067,7,1,4,0.0596,0.625,0.754,0.0,0.113,-6.993,0.189,0.357,96.186,61,spotify:track:46OFHBw45fNi7QNjSetITR
609,Ultralight Beam,Kanye West,320680,0,0,4,0.62,0.592,0.403,0.0,0.54,-8.768,0.414,0.391,105.169,72,spotify:track:1eQBEelI2NCy7AUTerX0KS
610,Father Stretch My Hands Pt. 1,Kanye West,135920,7,1,4,0.118,0.724,0.573,0.0,0.538,-4.113,0.0549,0.438,113.088,74,spotify:track:4KW1lqgSr8TKrvBII0Brf8
611,Pt. 2,Kanye West,130293,11,1,4,0.552,0.674,0.752,0.0,0.787,-4.073,0.333,0.236,145.076,67,spotify:track:1Wsbr1d2BouNGk2q92mIj7
612,Famous,Kanye West,196040,6,1,4,0.0711,0.465,0.735,0.0,0.0975,-3.715,0.117,0.409,173.935,73,spotify:track:19a3JfW8BQwqHWUMbcqSx8
